Group,Number,factor1,factor2,Sentence,VerbDutch,VerbEnglish,PredicateDutch,PredicateEnglish
a,60,filler,filler21,Hoe dol op z'n nieuwe auto vertelde,,tell,,Hoe fond of his new car
a,55,filler,filler16,Wie van de zeven dwergen vergat,vergeten,forget,,Which of the seven dwarves 
a,8,DID,male,Hoe ontsteld met hem vanwege de foute opmerking dacht,denken,think,ontsteld,upset (b)
a,64,filler,filler25,Hoe snel tijdens de race kreeg,,receive,,How early on in the reace
a,18,DID,male,Hoe bezorgd om hem rapporteerde,rapporteren,report,bezorgd ,worried
a,56,filler,filler17,Waar op de binnenplaats achterhaalde,,find,,Where in the atrium 
a,23,DID,female,Hoe boos op haar vanwege het ongeluk riep,roepen,exclaim,boos,angry
a,72,filler,filler33,Hoe scherp op een schaal van een tot tien schatte,,estimate,,How sharp on a scale from one to ten 
a,7,DID,female,Hoe verliefd op haar op de middelbare school vond ,vinden,find,verliefd,in love with
a,50,filler,filler11,Welke man op straat zag,zien,see,,What man on the street 
a,3,DID,female,Hoe gefrustreerd met haar vanwege de vertraging veronderstelde,veronderstelt,presuppose,gefrustreerd,frustrated
a,67,filler,filler28,Waarover midden in de nacht sprak,,talk,,About what in the middle of the night
a,17,DID,female,Hoe kwaad op haar vanwege de brandmelding vreesde,vrezen,fear,kwaad,angry
a,75,filler,filler36,Welke ingewikkelde som op de rekentoets kon,,can,,Which complicated problem on the math test
a,15,DID,female,Hoe tevreden met haar vanwege de overwinning vertelde,vertellen,tell,tevreden,content
a,53,filler,filler14,Welke gegevens van de klant wil,willen,want,,Which information of the customer 
a,31,WAS,female,Hoe gelukkig met haar was,zijn,be,gelukkig,happy
a,73,filler,filler34,Welk klasgenootje in de derde klas vond,,find,,Which classmate in third grade
a,2,DID,male,Hoe trots op hem vanwege de overwinning verwachtte,verwachten,expect,trots,proud
a,35,WAS,male,Hoe ontsteld met hem was,zijn,be,ontsteld,upset (b)
a,19,DID,female,Hoe gefrustreerd met haar denkt ,denken,think,gefrustreerd,frustrated
a,58,filler,filler19,Welke belangrijke informatie betwistte,,doubt,,Which important information doubted
a,1,DID,female,Hoe boos op haar vanwege de fout suggereerde ,suggereren,suggest,boos,upset (a)
a,42,filler,filler3,Wanneer ongeveer was ,zijn,be,,When approximately
a,36,WAS,male,Hoe blij met hem was,zijn,be,blij,happy
a,44,filler,filler5,Wat voor type auto wilde  ,willen,want,,What type of car 
a,24,DID,male,Hoe ontsteld met hem vanwege het wangedrag legde,uitleggen,explain,ontsteld,upset
a,39,WAS,male,Hoe gesteld op hem was,zijn,be,gesteld ,fond of 
a,74,filler,filler35,Vanuit welke hoek op het veld probeerde,,try,,From which corner of the field 
a,26,DID,male,Hoe blij met hem vanwege zijn cabaret lachte,lachen,laugh,blij,happy
a,63,filler,filler24,Welk groot museum won,,win,,Which big museum
a,20,DID,male,Hoe verliefd op hem vermoedde,vermoeden,suspect,verliefd,in love with
a,71,filler,filler32,Welke fanatieke aanhangers van de omstreden politicus verbaasde,,surprise,,Which of the fanatical supporters of the controversial politician
a,27,DID,female,Hoe tevreden met haar vanwege haar werklust suggereerde,suggereren,suggest,tevreden,content
a,54,filler,filler15,Hoe kritisch over zijn aanstaande kandidatuur verweet,verwijten,accuse,,How critical of his upcoming candidacy 
a,5,DID,female,Hoe tevreden met haar vanwege de omzet merkte,merken,notice,tevreden,content
a,68,filler,filler29,Hoe duur vergeleken met andere instrumenten was,,be,,How expensive compared to other instruments
a,25,DID,female,Hoe overdonderd door haar vanwege de verrassing stelde,uiteenzetten,know,overdonderd,overwhelmed
a,46,filler,filler7,Hoe laat in de middag arriveerde,arriveren,arrive,,What time in the afternoon
a,11,DID,female,Hoe overdonderd door haar en door de afwijzing schreef,schrijven,write,overdonderd,overwhelmed
a,57,filler,filler18,Wie van de mannen op de foto kon,,can,,Who of the men in the photo
a,28,WAS,female,Hoe boos op haar was ,zijn,be,boos,upset (a)
a,45,filler,filler6,Wie kon op donderdag,kunnen,can,,Who on Thursday
a,32,WAS,female,Hoe tevreden met haar was,zijn,be,tevreden,content
a,43,filler,filler4,Hoe vaak in het algemeen was,zijn,be,,How often in general
a,30,WAS,female,Hoe gefrustreerd met haar was,zijn,be,gefrustreerd,frustrated
a,66,filler,filler27,Welke afbeelding op het computerscherm was,,be,,Which image on the computer screen
a,10,DID,male,Hoe verrast met hem en zijn verloving wist,weet,know,verrast,surprised
a,40,filler,filler1,Hoe lang in het donker dacht ,denken,think,,How long in the dark 
a,38,WAS,male,Hoe overdonderd door hem was,zijn,be,overdonderd,overwhelmed
a,49,filler,filler10,Hoe graag vertelt,vertellen,tell,,How eagerly 
a,9,DID,female,Hoe blij met haar en met de overwinning claimde,claim,claim,blij,happy
a,61,filler,filler22,In wat voor toestanden kon,,can,,In what circumstances
a,12,DID,male,Hoe gesteld op hem ontdekte,ontdekken,discover,gesteld ,fond of 
a,52,filler,filler13,Hoeveel jaar oud denkt,denken,think,,How many years old 
a,33,WAS,female,Hoe teleurgesteld in haar was,zijn,be,teleurgsteld,disappointed
a,6,DID,male,Hoe teleurgesteld in hem vanwege de slechte score droomde,dromen,dream,teleurgsteld,disappointed
a,69,filler,filler30,Wie van de drie kandidaten ging,,go,,Which of the three candidates
a,13,DID,female,Hoe boos op haar en de grote fout verwachtte,geloven,believe,boos,upset (a)
a,62,filler,filler23,Welke extra toevoegingen aan z'n aansprakelijkheidsverzekering vroeg,,ask,,What add-ons to his liability insurance
a,16,DID,male,Hoe verrast met hem vanwege het succes hoopte,hopen,hope,verrast,surprised
a,29,WAS,female,Hoe trots op haar was,zijn,be,trots,proud
a,70,filler,filler31,Hoe veel langer dan aanvankelijk voorspeld duurde,,take,,How much longer than initially predicted
a,4,DID,male,Hoe gelukkig met hem op het terras zag,zien,see,gelukkig,happy
a,65,filler,filler26,Hoeveel mensen in de stad zaten,,sit,,How many people in the city
a,22,DID,male,Hoe geirriteerd met hem vanwege de herrie verklaarde,verklaren,declare,geirriteerd,annoyed
a,48,filler,filler9,Hoe vroeg op deze koude ochtend gaat,gaan,go,,How early on this cold morning
a,37,WAS,male,Hoe verrast met hem was,zijn,be,verrast,surprised
a,14,DID,male,Hoe gelukkig met hem vanwege het succes zei,zeggen,say,gelukkig,happy
a,51,filler,filler12,Welke foto van de man wilde,willen,want,,Which photo of the man 
a,21,DID,female,Hoe teleurgesteld met haar vergat,vergeten,forget,teleurgsteld,disappointed
a,41,filler,filler2,Hoe vaak was,zijn,be,,How often
a,34,WAS,male,Hoe verliefd op hem was ,zijn,be,verliefd,in love with
a,59,filler,filler20,Welke bijwerkingen van het medicijn hoopte ,,hope,,What side effects of the medicine
a,47,filler,filler8,Hoe ver achteraan in de file stond,staan,stand,,How far behind in the traffic jam
