PseudoRando,Number,factor1,factor2,Sentence,VerbDutch,VerbEnglish,PredicateDutch,PredicateEnglish
47,47,filler,filler8,Hoe ver achteraan in de file stond de,staan,stand,,How far behind in the traffic jam
59,59,filler,filler20,Welke bijwerkingen van het medicijn hoopte de,,hope,,What side effects of the medicine
34,34,WAS,male,Hoe verliefd op hem op het feestje was de,zijn,be,verliefd,in love with
41,41,filler,filler2,Hoe vaak was de,zijn,be,,How often
21,21,DID,female,Hoe teleurgesteld met haar vergat de,vergeten,forget,teleurgsteld,disappointed
51,51,filler,filler12,Welke foto van de man wilde de,willen,want,,Which photo of the man 
14,14,DID,male,Hoe gelukkig met hem vanwege het succes zei de,zeggen,say,gelukkig,happy
37,37,WAS,male,Hoe verrast met hem om het besluit was de,zijn,be,verrast,surprised
48,48,filler,filler9,Hoe vroeg op deze koude ochtend gaat de,gaan,go,,How early on this cold morning
22,22,DID,male,Hoe geirriteerd met hem vanwege de herrie verklaarde de,verklaren,declare,geirriteerd,annoyed
65,65,filler,filler26,Hoeveel mensen in de stad zaten de,,sit,,How many people in the city
4,4,DID,male,Hoe gelukkig met hem op het terras zag de,zien,see,gelukkig,happy
70,70,filler,filler31,Hoe veel langer dan aanvankelijk voorspeld duurde de,,take,,How much longer than initially predicted
29,29,WAS,female,Hoe trots op haar om de medaille was de,zijn,be,trots,proud
16,16,DID,male,Hoe verrast met hem vanwege het succes hoopte de,hopen,hope,verrast,surprised
62,62,filler,filler23,Welke extra toevoegingen aan z'n aansprakelijkheidsverzekering vroeg de,,ask,,What add-ons to his liability insurance
13,13,DID,female,Hoe boos op haar en de grote fout verwachtte de,geloven,believe,boos,upset (a)
69,69,filler,filler30,Wie van de drie kandidaten ging de,,go,,Which of the three candidates
6,6,DID,male,Hoe teleurgesteld in hem vanwege de slechte score droomde de,dromen,dream,teleurgsteld,disappointed
33,33,WAS,female,Hoe teleurgesteld in haar was de,zijn,be,teleurgsteld,disappointed
52,52,filler,filler13,Hoeveel jaar oud denkt de,denken,think,,How many years old 
12,12,DID,male,Hoe gesteld op hem ontdekte de,ontdekken,discover,gesteld ,fond of 
61,61,filler,filler22,In wat voor toestanden kon de,,can,,In what circumstances
9,9,DID,female,Hoe blij met haar en met de overwinning claimde de,claim,claim,blij,happy
49,49,filler,filler10,Hoe graag vertelt de,vertellen,tell,,How eagerly 
38,38,WAS,male,Hoe overdonderd door hem was de,zijn,be,overdonderd,overwhelmed
40,40,filler,filler1,Hoe lang in het donker dacht de,denken,think,,How long in the dark 
10,10,DID,male,Hoe verrast met hem en zijn verloving wist de,weet,know,verrast,surprised
66,66,filler,filler27,Welke afbeelding op het computerscherm was de,,be,,Which image on the computer screen
30,30,WAS,female,Hoe gefrustreerd met haar was de,zijn,be,gefrustreerd,frustrated
43,43,filler,filler4,Hoe vaak in het algemeen was de,zijn,be,,How often in general
32,32,WAS,female,Hoe tevreden met haar was de,zijn,be,tevreden,content
45,45,filler,filler6,Wie kon op donderdag de,kunnen,can,,Who on Thursday
28,28,WAS,female,Hoe boos op haar was de,zijn,be,boos,upset (a)
57,57,filler,filler18,Wie van de mannen op de foto kon de,,can,,Who of the men in the photo
46,46,filler,filler7,Hoe laat in de middag arriveerde de,arriveren,arrive,,What time in the afternoon
25,25,DID,female,Hoe overdonderd door haar vanwege de verrassing stelde de,uiteenzetten,know,overdonderd,overwhelmed
68,68,filler,filler29,Hoe duur vergeleken met andere instrumenten was de,,be,,How expensive compared to other instruments
5,5,DID,female,Hoe tevreden met haar vanwege de omzet merkte de,merken,notice,tevreden,content
54,54,filler,filler15,Hoe kritisch over zijn aanstaande kandidatuur verweet de,verwijten,accuse,,How critical of his upcoming candidacy 
27,27,DID,female,Hoe tevreden met haar vanwege haar werklust suggereerde de,suggereren,suggest,tevreden,content
71,71,filler,filler32,Welke fanatieke aanhangers van de omstreden politicus verbaasde de,,surprise,,Which of the fanatical supporters of the controversial politician
20,20,DID,male,Hoe verliefd op hem vanwege al het geflirt vermoedde de,vermoeden,suspect,verliefd,in love with
63,63,filler,filler24,Welk groot museum won de,,win,,Which big museum
26,26,DID,male,Hoe blij met hem vanwege zijn cabaret lachte de,lachen,laugh,blij,happy
74,74,filler,filler35,Vanuit welke hoek op het veld probeerde de,,try,,From which corner of the field 
39,39,WAS,male,Hoe gesteld op hem vanwege de stabiliteit was de,zijn,be,gesteld ,fond of 
24,24,DID,male,Hoe ontsteld met hem vanwege het wangedrag legde de,uitleggen,explain,ontsteld,upset
44,44,filler,filler5,Wat voor type auto wilde de,willen,want,,What type of car 
36,36,WAS,male,Hoe blij met hem en de gigantische vooruitgang was de,zijn,be,blij,happy
42,42,filler,filler3,Wanneer ongeveer was de,zijn,be,,When approximately
1,1,DID,female,Hoe boos op haar vanwege de fout suggereerde de,suggereren,suggest,boos,upset (a)
58,58,filler,filler19,Welke belangrijke informatie betwistte de,,doubt,,Which important information doubted
19,19,DID,female,Hoe gefrustreerd met haar vanwege de starre opstelling denkt de,denken,think,gefrustreerd,frustrated
11,11,DID,female,Hoe overdonderd door haar en door de afwijzing schreef de,schrijven,write,overdonderd,overwhelmed
35,35,WAS,male,Hoe ontsteld met hem en de beledigende opmerking was de,zijn,be,ontsteld,upset (b)
2,2,DID,male,Hoe trots op hem vanwege de overwinning verwachtte de,verwachten,expect,trots,proud
73,73,filler,filler34,Welk klasgenootje in de derde klas vond de,,find,,Which classmate in third grade
31,31,WAS,female,Hoe gelukkig met haar vanwege het aanstekelijke enthousiasme was de,zijn,be,gelukkig,happy
53,53,filler,filler14,Welke gegevens van de klant wil de,willen,want,,Which information of the customer 
15,15,DID,female,Hoe tevreden met haar vanwege de overwinning vertelde de,vertellen,tell,tevreden,content
75,75,filler,filler36,Welke ingewikkelde som op de rekentoets kon de,,can,,Which complicated problem on the math test
17,17,DID,female,Hoe kwaad op haar vanwege de brandmelding vreesde de,vrezen,fear,kwaad,angry
67,67,filler,filler28,Waarover midden in de nacht sprak de,,talk,,About what in the middle of the night
3,3,DID,female,Hoe gefrustreerd met haar vanwege de vertraging veronderstelde de,veronderstelt,presuppose,gefrustreerd,frustrated
50,50,filler,filler11,Welke man op straat zag de,zien,see,,What man on the street 
7,7,DID,female,Hoe verliefd op haar op de middelbare school vond de,vinden,find,verliefd,in love with
72,72,filler,filler33,Hoe scherp op een schaal van een tot tien schatte de,,estimate,,How sharp on a scale from one to ten 
23,23,DID,female,Hoe boos op haar vanwege het ongeluk riep de,roepen,exclaim,boos,angry
56,56,filler,filler17,Waar op de binnenplaats achterhaalde de,,find,,Where in the atrium 
18,18,DID,male,Hoe bezorgd om hem vanwege de zware behandeling rapporteerde de,rapporteren,report,bezorgd ,worried
64,64,filler,filler25,Hoe snel tijdens de race kreeg de,,receive,,How early on in the reace
8,8,DID,male,Hoe ontsteld met hem vanwege de foute opmerking dacht de,denken,think,ontsteld,upset (b)
55,55,filler,filler16,Wie van de zeven dwergen vergat de,vergeten,forget,,Which of the seven dwarves 
60,60,filler,filler21,Hoe dol op z'n nieuwe auto vertelde de,,tell,,Hoe fond of his new car
